# Reported summary statistics from the HHRA UPDATE: (a) 2012 SSI data MDCs/95%UCL as RESTATED in this document's narrative text (cross-check these against Part 1 of the SSI Report summary above -- they should match, since both describe the same underlying 2012 detections), and (b) the 2006 Shaw-investigation COPC-selection tables (Tables 2-5) reproduced as Appendix B. Quoted as-is, never recomputed.
investigation_event,location,sample_id,depth_ft,is_background,analyte,value_type,value_mgkg,source_document,notes
"2012 SSI - Fenceline/Perimeter/Cadmium Borings, as restated in HHRA UPDATE narrative (mirrors SSI Report raw data; cross-check only, not independently transcribed here)","Stockpiles 1-3 combined (0-20ft bgs, Fenceline+Cadmium Borings)",multiple,0-20,False,Strontium,MDC_reported,270.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE narrative, PDF p.6 (report p.5): 'Strontium was detected in all but one of the 2012 soil samples with an MDC of 270 mg/kg' (Stockpiles 1-3 combined, 0-20 ft bgs)"
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 2 (SP#1 surface soil COPC selection)),"Stockpile 1 (surface soil, 0-1ft bgs)",SR99/132-N02,,False,Arsenic,detection_min_reported,0.6,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 2 (SP#1 surface soil COPC selection), PDF p.73. Frequency of detection 5/5 (100%). Max background concentration 4.1 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data). Arsenic NOT selected as COPC (max detected <= max background); no EPC assigned."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 2 (SP#1 surface soil COPC selection)),"Stockpile 1 (surface soil, 0-1ft bgs)",multiple,,False,Arsenic,MDC,1.1,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 2 (SP#1 surface soil COPC selection), PDF p.73. Frequency of detection 5/5 (100%). Max background concentration 4.1 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data). Arsenic NOT selected as COPC (max detected <= max background); no EPC assigned."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 2 (SP#1 surface soil COPC selection)),"Stockpile 1 (surface soil, 0-1ft bgs)",SR99/132-N02,,False,Barium,detection_min_reported,50.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 2 (SP#1 surface soil COPC selection), PDF p.73. Frequency of detection 5/5 (100%). Max background concentration 120 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 2 (SP#1 surface soil COPC selection)),"Stockpile 1 (surface soil, 0-1ft bgs)",SR99/132-N01,,False,Barium,MDC,130.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 2 (SP#1 surface soil COPC selection), PDF p.73. Frequency of detection 5/5 (100%). Max background concentration 120 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 2 (SP#1 surface soil COPC selection)),"Stockpile 1 (surface soil, 0-1ft bgs)",n/a,,False,Barium,EPC,130.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 2 (SP#1 surface soil COPC selection), PDF p.73. Frequency of detection 5/5 (100%). Max background concentration 120 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 2 (SP#1 surface soil COPC selection)),"Stockpile 1 (surface soil, 0-1ft bgs)",SR99/132-S01,,False,Lead,detection_min_reported,6.4,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 2 (SP#1 surface soil COPC selection), PDF p.73. Frequency of detection 5/5 (100%). Max background concentration 3.8 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 2 (SP#1 surface soil COPC selection)),"Stockpile 1 (surface soil, 0-1ft bgs)",SR99/132-N01,,False,Lead,MDC,12.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 2 (SP#1 surface soil COPC selection), PDF p.73. Frequency of detection 5/5 (100%). Max background concentration 3.8 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 2 (SP#1 surface soil COPC selection)),"Stockpile 1 (surface soil, 0-1ft bgs)",n/a,,False,Lead,EPC,12.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 2 (SP#1 surface soil COPC selection), PDF p.73. Frequency of detection 5/5 (100%). Max background concentration 3.8 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 3 (SP#2 surface soil COPC selection)),"Stockpile 2 (surface soil, 0-1ft bgs)",SR99/132-S19,,False,Arsenic,detection_min_reported,0.7,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 3 (SP#2 surface soil COPC selection), PDF p.74. Frequency of detection 33/33 (100%). Max background concentration 4.1 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 3 (SP#2 surface soil COPC selection)),"Stockpile 2 (surface soil, 0-1ft bgs)",SR99/132-S20,,False,Arsenic,MDC,4.9,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 3 (SP#2 surface soil COPC selection), PDF p.74. Frequency of detection 33/33 (100%). Max background concentration 4.1 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 3 (SP#2 surface soil COPC selection)),"Stockpile 2 (surface soil, 0-1ft bgs)",n/a,,False,Arsenic,EPC,1.63,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 3 (SP#2 surface soil COPC selection), PDF p.74. Frequency of detection 33/33 (100%). Max background concentration 4.1 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 3 (SP#2 surface soil COPC selection)),"Stockpile 2 (surface soil, 0-1ft bgs)",n/a,,False,Arsenic,95_UCL,1.63,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 3 (SP#2 surface soil COPC selection), PDF p.74. Frequency of detection 33/33 (100%). Max background concentration 4.1 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 3 (SP#2 surface soil COPC selection)),"Stockpile 2 (surface soil, 0-1ft bgs)",SR99/132-S05,,False,Barium,detection_min_reported,62.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 3 (SP#2 surface soil COPC selection), PDF p.74. Frequency of detection 33/33 (100%). Max background concentration 120 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 3 (SP#2 surface soil COPC selection)),"Stockpile 2 (surface soil, 0-1ft bgs)",SR99/132-S13,,False,Barium,MDC,1100.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 3 (SP#2 surface soil COPC selection), PDF p.74. Frequency of detection 33/33 (100%). Max background concentration 120 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 3 (SP#2 surface soil COPC selection)),"Stockpile 2 (surface soil, 0-1ft bgs)",n/a,,False,Barium,EPC,376.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 3 (SP#2 surface soil COPC selection), PDF p.74. Frequency of detection 33/33 (100%). Max background concentration 120 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 3 (SP#2 surface soil COPC selection)),"Stockpile 2 (surface soil, 0-1ft bgs)",n/a,,False,Barium,95_UCL,376.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 3 (SP#2 surface soil COPC selection), PDF p.74. Frequency of detection 33/33 (100%). Max background concentration 120 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 3 (SP#2 surface soil COPC selection)),"Stockpile 2 (surface soil, 0-1ft bgs)",SR99/132-S19,,False,Lead,detection_min_reported,2.5,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 3 (SP#2 surface soil COPC selection), PDF p.74. Frequency of detection 33/33 (100%). Max background concentration 3.8 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 3 (SP#2 surface soil COPC selection)),"Stockpile 2 (surface soil, 0-1ft bgs)",SR99/132-S20,,False,Lead,MDC,150.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 3 (SP#2 surface soil COPC selection), PDF p.74. Frequency of detection 33/33 (100%). Max background concentration 3.8 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 3 (SP#2 surface soil COPC selection)),"Stockpile 2 (surface soil, 0-1ft bgs)",n/a,,False,Lead,EPC,29.3,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 3 (SP#2 surface soil COPC selection), PDF p.74. Frequency of detection 33/33 (100%). Max background concentration 3.8 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 3 (SP#2 surface soil COPC selection)),"Stockpile 2 (surface soil, 0-1ft bgs)",n/a,,False,Lead,95_UCL,29.3,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 3 (SP#2 surface soil COPC selection), PDF p.74. Frequency of detection 33/33 (100%). Max background concentration 3.8 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 4 (SP#3 surface soil COPC selection)),"Stockpile 3 (surface soil, 0-1ft bgs)",multiple,,False,Arsenic,detection_min_reported,0.4,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 4 (SP#3 surface soil COPC selection), PDF p.75. Frequency of detection 9/13 (69%). Max background concentration 4.1 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data). Arsenic NOT selected as COPC (max detected <= max background); no EPC assigned."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 4 (SP#3 surface soil COPC selection)),"Stockpile 3 (surface soil, 0-1ft bgs)",SR99/132-S31,,False,Arsenic,MDC,1.3,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 4 (SP#3 surface soil COPC selection), PDF p.75. Frequency of detection 9/13 (69%). Max background concentration 4.1 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data). Arsenic NOT selected as COPC (max detected <= max background); no EPC assigned."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 4 (SP#3 surface soil COPC selection)),"Stockpile 3 (surface soil, 0-1ft bgs)",SR99/132-N13,,False,Barium,detection_min_reported,38.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 4 (SP#3 surface soil COPC selection), PDF p.75. Frequency of detection 13/13 (100%). Max background concentration 120 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 4 (SP#3 surface soil COPC selection)),"Stockpile 3 (surface soil, 0-1ft bgs)",SR99/132-S31,,False,Barium,MDC,250.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 4 (SP#3 surface soil COPC selection), PDF p.75. Frequency of detection 13/13 (100%). Max background concentration 120 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 4 (SP#3 surface soil COPC selection)),"Stockpile 3 (surface soil, 0-1ft bgs)",n/a,,False,Barium,EPC,250.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 4 (SP#3 surface soil COPC selection), PDF p.75. Frequency of detection 13/13 (100%). Max background concentration 120 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 4 (SP#3 surface soil COPC selection)),"Stockpile 3 (surface soil, 0-1ft bgs)",SR99/132-N13,,False,Lead,detection_min_reported,1.2,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 4 (SP#3 surface soil COPC selection), PDF p.75. Frequency of detection 13/13 (100%). Max background concentration 3.8 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 4 (SP#3 surface soil COPC selection)),"Stockpile 3 (surface soil, 0-1ft bgs)",SR99/132-S31,,False,Lead,MDC,12.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 4 (SP#3 surface soil COPC selection), PDF p.75. Frequency of detection 13/13 (100%). Max background concentration 3.8 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 4 (SP#3 surface soil COPC selection)),"Stockpile 3 (surface soil, 0-1ft bgs)",n/a,,False,Lead,EPC,12.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 4 (SP#3 surface soil COPC selection), PDF p.75. Frequency of detection 13/13 (100%). Max background concentration 3.8 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 5 (SP#1/2/3 combined construction-zone COPC selection)),Stockpiles 1-3 combined (0-20ft bgs),multiple,,False,Arsenic,detection_min_reported,0.4,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 5 (SP#1/2/3 combined construction-zone COPC selection), PDF p.76. Frequency of detection 152/165 (92%). Max background concentration 4.1 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data). IMPORTANT: the '14' in this row is the SAMPLE DEPTH (ft bgs) at which the maximum was detected, NOT a concentration. The maximum arsenic concentration is 5.5 mg/kg. A prior extraction mis-transcribed the depth column value (14) as the concentration -- corrected here."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 5 (SP#1/2/3 combined construction-zone COPC selection)),Stockpiles 1-3 combined (0-20ft bgs),SR99/132-N08,14,False,Arsenic,MDC,5.5,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 5 (SP#1/2/3 combined construction-zone COPC selection), PDF p.76. Frequency of detection 152/165 (92%). Max background concentration 4.1 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data). IMPORTANT: the '14' in this row is the SAMPLE DEPTH (ft bgs) at which the maximum was detected, NOT a concentration. The maximum arsenic concentration is 5.5 mg/kg. A prior extraction mis-transcribed the depth column value (14) as the concentration -- corrected here."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 5 (SP#1/2/3 combined construction-zone COPC selection)),Stockpiles 1-3 combined (0-20ft bgs),n/a,,False,Arsenic,EPC,5.5,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 5 (SP#1/2/3 combined construction-zone COPC selection), PDF p.76. Frequency of detection 152/165 (92%). Max background concentration 4.1 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data). IMPORTANT: the '14' in this row is the SAMPLE DEPTH (ft bgs) at which the maximum was detected, NOT a concentration. The maximum arsenic concentration is 5.5 mg/kg. A prior extraction mis-transcribed the depth column value (14) as the concentration -- corrected here."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 5 (SP#1/2/3 combined construction-zone COPC selection)),Stockpiles 1-3 combined (0-20ft bgs),SR99/132-N12,,False,Barium,detection_min_reported,35.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 5 (SP#1/2/3 combined construction-zone COPC selection), PDF p.76. Frequency of detection 165/165 (100%). Max background concentration 120 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 5 (SP#1/2/3 combined construction-zone COPC selection)),Stockpiles 1-3 combined (0-20ft bgs),SR99/132-N15,10,False,Barium,MDC,72000.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 5 (SP#1/2/3 combined construction-zone COPC selection), PDF p.76. Frequency of detection 165/165 (100%). Max background concentration 120 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 5 (SP#1/2/3 combined construction-zone COPC selection)),Stockpiles 1-3 combined (0-20ft bgs),n/a,,False,Barium,EPC,72000.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 5 (SP#1/2/3 combined construction-zone COPC selection), PDF p.76. Frequency of detection 165/165 (100%). Max background concentration 120 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 5 (SP#1/2/3 combined construction-zone COPC selection)),Stockpiles 1-3 combined (0-20ft bgs),SR99/132-N13,,False,Lead,detection_min_reported,1.2,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 5 (SP#1/2/3 combined construction-zone COPC selection), PDF p.76. Frequency of detection 165/165 (100%). Max background concentration 3.8 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 5 (SP#1/2/3 combined construction-zone COPC selection)),Stockpiles 1-3 combined (0-20ft bgs),SR99/132-N14,10,False,Lead,MDC,1500.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 5 (SP#1/2/3 combined construction-zone COPC selection), PDF p.76. Frequency of detection 165/165 (100%). Max background concentration 3.8 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 5 (SP#1/2/3 combined construction-zone COPC selection)),Stockpiles 1-3 combined (0-20ft bgs),n/a,,False,Lead,EPC,1500.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 5 (SP#1/2/3 combined construction-zone COPC selection), PDF p.76. Frequency of detection 165/165 (100%). Max background concentration 3.8 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
