# Part 1: min/max computed from RAW DETECTIONS / DETECTION RANGES ONLY (value_type in {detection, detection_range}); excludes MDC/95_UCL/EPC/background_range rows, which are the consultants' own calculated statistics and are listed separately below, as-is.
location,analyte,min_detected_mgkg,max_detected_mgkg,n_raw_rows_contributing,max_source_investigation_event,max_source_page_printed,regulatory_limit_mgkg,limit_type,limit_cited_page_printed,exceedance_ratio_at_max,source_document
Cadmium Borings (Stockpiles 2 and 3),barium,58.0,130000.0,1,2012 SSI,17,5200,CHHSL (residential),16,25.0,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
Cadmium Borings (Stockpiles 2 and 3),barium,58.0,130000.0,1,2012 SSI,17,63000,CHHSL (industrial/commercial),16,2.063,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
"Fenceline Borings (all stockpiles, deepest sample 3-5 ft)",barium,42.0,680.0,1,2012 SSI,16,5200,CHHSL (residential),16,0.131,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
"Fenceline Borings (all stockpiles, deepest sample 3-5 ft)",barium,42.0,680.0,1,2012 SSI,16,63000,CHHSL (industrial/commercial),16,0.011,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
"Fenceline Borings (all stockpiles, surface)",barium,140.0,4300.0,1,2012 SSI,16,5200,CHHSL (residential),16,0.827,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
"Fenceline Borings (all stockpiles, surface)",barium,140.0,4300.0,1,2012 SSI,16,63000,CHHSL (industrial/commercial),16,0.068,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
"Perimeter Borings (all stockpiles, surface 3-ft)",barium,76.0,1600.0,1,2012 SSI,16,5200,CHHSL (residential),16,0.308,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
"Perimeter Borings (all stockpiles, surface 3-ft)",barium,76.0,1600.0,1,2012 SSI,16,63000,CHHSL (industrial/commercial),16,0.025,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
Perimeter Borings (elevated subset: east end Stockpile 2 / SW Stockpile 3),barium,710.0,1600.0,1,2012 SSI,16,5200,CHHSL (residential),16,0.308,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
Perimeter Borings (elevated subset: east end Stockpile 2 / SW Stockpile 3),barium,710.0,1600.0,1,2012 SSI,16,63000,CHHSL (industrial/commercial),16,0.025,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
Stockpile 3 (Kansas Ave off-ramp embankment),barium,34.0,1600.0,1,Pre-2012 (Geocon direct-push + hand-auger),6,5200,CHHSL (residential),16,0.308,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
Stockpile 3 (Kansas Ave off-ramp embankment),barium,34.0,1600.0,1,Pre-2012 (Geocon direct-push + hand-auger),6,63000,CHHSL (industrial/commercial),16,0.025,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
"Stockpiles (2 of 278 samples, stockpile unspecified)",lead,150.0,1500.0,2,2006 SI,15,,,,,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
Stockpiles (unspecified),barium,25000.0,130000.0,1,"2006 SI + 2012 SSI (cumulative, 348 samples)",17,5200,CHHSL (residential),16,25.0,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
Stockpiles (unspecified),barium,25000.0,130000.0,1,"2006 SI + 2012 SSI (cumulative, 348 samples)",17,63000,CHHSL (industrial/commercial),16,2.063,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
Stockpiles 2 and 3 (cadmium-correlated subset),barium,25800.0,196000.0,1,2004 PSI,17,5200,CHHSL (residential),16,37.692,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
Stockpiles 2 and 3 (cadmium-correlated subset),barium,25800.0,196000.0,1,2004 PSI,17,63000,CHHSL (industrial/commercial),16,3.111,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf

# Part 2: reported summary statistics (MDC / 95% UCL / EPC / background_range), quoted as-is from the source document -- not recomputed.
investigation_event,location,analyte,value_type,value_mgkg,range_low_mgkg,range_high_mgkg,is_background,n_samples,source_section,source_page_printed,source_page_pdf,source_document,notes
2007 HHRA (based on 2006 SI data),Stockpile 3,lead,95_UCL,6.7,,,False,,3.1.1 Current Offsite Resident and Trespasser,20,26,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Used in the LeadSpread model; no unacceptable hazard indicated.
2006 SI / 2007 HHRA,"Stockpiles 1-3 combined (future construction soil zone, 0-20 ft)",lead,95_UCL,54.0,,,False,,3.1.2 Future Construction Worker,21,27,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Used in LeadSpread for the pica-child scenario; blood lead projected <10 ug/dL.
"2006 SI (max, 0-20 ft depth zone)",Stockpiles (unspecified),lead,MDC,1500.0,,,False,,3.1.3 Future Offsite Resident,21,27,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,"Same 1,500 mg/kg max lead value as the 2006 SI Total Metals section (printed p.15) -- used here to compute a respirable-dust lead concentration of 0.15 ug/m3 in the LeadSpread model, well below the 1.5 ug/m3 default."
2012 SSI (Fenceline + Perimeter Borings),Stockpile 1,barium,MDC,240.0,,,False,,3.2.1 Stockpile 1 Current Exposure Assessment,22,28,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,"Compared against the 2007 HHRA EPC below; same order of magnitude, no CHHSL/RSL exceedance -> 2007 HHRA findings held valid for Stockpile 1."
2006 SI (2007 HHRA EPC),Stockpile 1,barium,EPC,130.0,,,False,,3.2.1 Stockpile 1 Current Exposure Assessment,22,28,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,2007 HHRA EPC for Stockpile 1 barium; numerically the same as the 2006 SI Total Metals MDC reported on printed p.14.
2012 SSI (Fenceline + Perimeter Borings),Stockpile 1,lead,MDC,17.0,,,False,,3.2.1 Stockpile 1 Current Exposure Assessment,22,28,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,
2006 SI (2007 HHRA EPC),Stockpile 1,lead,EPC,12.0,,,False,,3.2.1 Stockpile 1 Current Exposure Assessment,22,28,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,
2012 SSI (Fenceline + Perimeter Borings),Stockpile 1,strontium,MDC,61.0,,,False,,3.2.1 Stockpile 1 Current Exposure Assessment,22,28,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,"Strontium was not a 2007 HHRA COPC for Stockpile 1 (only 2012 MDC reported, no EPC comparison)."
2012 SSI (Fenceline + Perimeter Borings),Stockpile 2,barium,MDC,4300.0,,,False,,3.2.2 Stockpile 2 Current Exposure Assessment,22,28,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,
2006 SI (2007 HHRA EPC),Stockpile 2,barium,EPC,1100.0,,,False,,3.2.2 Stockpile 2 Current Exposure Assessment,22,28,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,"2007 HHRA EPC for Stockpile 2 barium; Stockpile 2's 2007 HHRA COPCs used 95% UCLs (not MDCs) per Section 3.2, so this EPC differs from the raw 2006 SI MDC of 64,000 mg/kg reported on printed p.14 -- it is a separately-computed statistic, not transcribed here beyond what the FS report states."
2012 SSI (Fenceline + Perimeter Borings),Stockpile 2,strontium,MDC,110.0,,,False,,3.2.2 Stockpile 2 Current Exposure Assessment,23,29,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,
2012 SSI (Fenceline + Perimeter Borings),Stockpile 3,barium,MDC,1600.0,,,False,,3.2.3 Stockpile 3 Current Exposure Assessment,23,29,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,
2006 SI (2007 HHRA EPC),Stockpile 3,barium,EPC,250.0,,,False,,3.2.3 Stockpile 3 Current Exposure Assessment,23,29,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,
2012 SSI (Fenceline + Perimeter Borings),Stockpile 3,lead,MDC,34.0,,,False,,3.2.3 Stockpile 3 Current Exposure Assessment,23,29,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,"This is the 'lead fenceline/perimeter' figure discussed in Section 3.2.3; the true investigation event is the September 2012 SSI, not the surrounding section's 2006 SI framing."
2006 SI (2007 HHRA EPC),Stockpile 3,lead,EPC,12.0,,,False,,3.2.3 Stockpile 3 Current Exposure Assessment,23,29,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,"2007 HHRA EPC for Stockpile 3 lead, based on 13 surface soil samples from the 2006 SI -- distinct from the Stockpile 1 EPC of 12 mg/kg above (same number, different stockpile/dataset)."
2012 SSI (Fenceline + Perimeter Borings),Stockpile 3,strontium,MDC,100.0,,,False,,3.2.3 Stockpile 3 Current Exposure Assessment,23,29,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,'Detected in all but one of the 2012 surface soil samples.'
2012 SSI (Fenceline + Cadmium Borings),Stockpiles 1-3 combined,barium,MDC,130000.0,,,False,,3.2.4 Stockpiles 1-3 Future Construction Worker/Offsite Resident,23,29,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,
2006 SI (2007 HHRA EPC),Stockpiles 1-3 combined,barium,EPC,72000.0,,,False,,3.2.4 Stockpiles 1-3 Future Construction Worker/Offsite Resident,24,30,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Based on 165 soil samples from the 2006 SI.
2012 SSI,Stockpiles 1-3 combined,barium,95_UCL,7556.0,,,False,,3.2.4 Stockpiles 1-3 Future Construction Worker/Offsite Resident,24,30,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,"Calculated 95% UCL for the 2012 barium data; explicitly reported as 'significantly less than the MDC of 130,000 mg/kg and the EPC of 72,000 mg/kg.'"
2012 SSI,Stockpiles 1-3 combined,strontium,MDC,270.0,,,False,,3.2.4 Stockpiles 1-3 Future Construction Worker/Offsite Resident,24,30,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,'Detected in all but one of the 2012 soil samples.'
