investigation_event,location,sample_id,depth_ft,is_background,analyte,value_mgkg,qualifier,value_type,notes
"2012 SSI - Fenceline/Perimeter/Cadmium Borings, as restated in HHRA UPDATE narrative (mirrors SSI Report raw data; cross-check only, not independently transcribed here)","Stockpiles 1-3 combined (0-20ft bgs, Fenceline+Cadmium Borings)",multiple,0-20,False,Strontium,270,,MDC_reported,"HHRA UPDATE narrative, PDF p.6 (report p.5): 'Strontium was detected in all but one of the 2012 soil samples with an MDC of 270 mg/kg' (Stockpiles 1-3 combined, 0-20 ft bgs)"
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 2 (SP#1 surface soil COPC selection)),"Stockpile 1 (surface soil, 0-1ft bgs)",SR99/132-N02,,False,Arsenic,0.6,,detection_min_reported,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 2 (SP#1 surface soil COPC selection), PDF p.73. Frequency of detection 5/5 (100%). Max background concentration 4.1 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data). Arsenic NOT selected as COPC (max detected <= max background); no EPC assigned."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 2 (SP#1 surface soil COPC selection)),"Stockpile 1 (surface soil, 0-1ft bgs)",multiple,,False,Arsenic,1.1,,MDC,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 2 (SP#1 surface soil COPC selection), PDF p.73. Frequency of detection 5/5 (100%). Max background concentration 4.1 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data). Arsenic NOT selected as COPC (max detected <= max background); no EPC assigned."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 2 (SP#1 surface soil COPC selection)),"Stockpile 1 (surface soil, 0-1ft bgs)",SR99/132-N02,,False,Barium,50,,detection_min_reported,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 2 (SP#1 surface soil COPC selection), PDF p.73. Frequency of detection 5/5 (100%). Max background concentration 120 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 2 (SP#1 surface soil COPC selection)),"Stockpile 1 (surface soil, 0-1ft bgs)",SR99/132-N01,,False,Barium,130,,MDC,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 2 (SP#1 surface soil COPC selection), PDF p.73. Frequency of detection 5/5 (100%). Max background concentration 120 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 2 (SP#1 surface soil COPC selection)),"Stockpile 1 (surface soil, 0-1ft bgs)",n/a,,False,Barium,130,,EPC,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 2 (SP#1 surface soil COPC selection), PDF p.73. Frequency of detection 5/5 (100%). Max background concentration 120 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 2 (SP#1 surface soil COPC selection)),"Stockpile 1 (surface soil, 0-1ft bgs)",SR99/132-S01,,False,Lead,6.4,,detection_min_reported,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 2 (SP#1 surface soil COPC selection), PDF p.73. Frequency of detection 5/5 (100%). Max background concentration 3.8 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 2 (SP#1 surface soil COPC selection)),"Stockpile 1 (surface soil, 0-1ft bgs)",SR99/132-N01,,False,Lead,12,,MDC,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 2 (SP#1 surface soil COPC selection), PDF p.73. Frequency of detection 5/5 (100%). Max background concentration 3.8 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 2 (SP#1 surface soil COPC selection)),"Stockpile 1 (surface soil, 0-1ft bgs)",n/a,,False,Lead,12,,EPC,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 2 (SP#1 surface soil COPC selection), PDF p.73. Frequency of detection 5/5 (100%). Max background concentration 3.8 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 3 (SP#2 surface soil COPC selection)),"Stockpile 2 (surface soil, 0-1ft bgs)",SR99/132-S19,,False,Arsenic,0.7,,detection_min_reported,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 3 (SP#2 surface soil COPC selection), PDF p.74. Frequency of detection 33/33 (100%). Max background concentration 4.1 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 3 (SP#2 surface soil COPC selection)),"Stockpile 2 (surface soil, 0-1ft bgs)",SR99/132-S20,,False,Arsenic,4.9,,MDC,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 3 (SP#2 surface soil COPC selection), PDF p.74. Frequency of detection 33/33 (100%). Max background concentration 4.1 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 3 (SP#2 surface soil COPC selection)),"Stockpile 2 (surface soil, 0-1ft bgs)",n/a,,False,Arsenic,1.63,,EPC,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 3 (SP#2 surface soil COPC selection), PDF p.74. Frequency of detection 33/33 (100%). Max background concentration 4.1 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 3 (SP#2 surface soil COPC selection)),"Stockpile 2 (surface soil, 0-1ft bgs)",n/a,,False,Arsenic,1.63,,95_UCL,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 3 (SP#2 surface soil COPC selection), PDF p.74. Frequency of detection 33/33 (100%). Max background concentration 4.1 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 3 (SP#2 surface soil COPC selection)),"Stockpile 2 (surface soil, 0-1ft bgs)",SR99/132-S05,,False,Barium,62,,detection_min_reported,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 3 (SP#2 surface soil COPC selection), PDF p.74. Frequency of detection 33/33 (100%). Max background concentration 120 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 3 (SP#2 surface soil COPC selection)),"Stockpile 2 (surface soil, 0-1ft bgs)",SR99/132-S13,,False,Barium,1100,,MDC,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 3 (SP#2 surface soil COPC selection), PDF p.74. Frequency of detection 33/33 (100%). Max background concentration 120 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 3 (SP#2 surface soil COPC selection)),"Stockpile 2 (surface soil, 0-1ft bgs)",n/a,,False,Barium,376,,EPC,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 3 (SP#2 surface soil COPC selection), PDF p.74. Frequency of detection 33/33 (100%). Max background concentration 120 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 3 (SP#2 surface soil COPC selection)),"Stockpile 2 (surface soil, 0-1ft bgs)",n/a,,False,Barium,376,,95_UCL,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 3 (SP#2 surface soil COPC selection), PDF p.74. Frequency of detection 33/33 (100%). Max background concentration 120 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 3 (SP#2 surface soil COPC selection)),"Stockpile 2 (surface soil, 0-1ft bgs)",SR99/132-S19,,False,Lead,2.5,,detection_min_reported,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 3 (SP#2 surface soil COPC selection), PDF p.74. Frequency of detection 33/33 (100%). Max background concentration 3.8 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 3 (SP#2 surface soil COPC selection)),"Stockpile 2 (surface soil, 0-1ft bgs)",SR99/132-S20,,False,Lead,150,,MDC,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 3 (SP#2 surface soil COPC selection), PDF p.74. Frequency of detection 33/33 (100%). Max background concentration 3.8 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 3 (SP#2 surface soil COPC selection)),"Stockpile 2 (surface soil, 0-1ft bgs)",n/a,,False,Lead,29.3,,EPC,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 3 (SP#2 surface soil COPC selection), PDF p.74. Frequency of detection 33/33 (100%). Max background concentration 3.8 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 3 (SP#2 surface soil COPC selection)),"Stockpile 2 (surface soil, 0-1ft bgs)",n/a,,False,Lead,29.3,,95_UCL,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 3 (SP#2 surface soil COPC selection), PDF p.74. Frequency of detection 33/33 (100%). Max background concentration 3.8 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 4 (SP#3 surface soil COPC selection)),"Stockpile 3 (surface soil, 0-1ft bgs)",multiple,,False,Arsenic,0.4,,detection_min_reported,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 4 (SP#3 surface soil COPC selection), PDF p.75. Frequency of detection 9/13 (69%). Max background concentration 4.1 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data). Arsenic NOT selected as COPC (max detected <= max background); no EPC assigned."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 4 (SP#3 surface soil COPC selection)),"Stockpile 3 (surface soil, 0-1ft bgs)",SR99/132-S31,,False,Arsenic,1.3,,MDC,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 4 (SP#3 surface soil COPC selection), PDF p.75. Frequency of detection 9/13 (69%). Max background concentration 4.1 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data). Arsenic NOT selected as COPC (max detected <= max background); no EPC assigned."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 4 (SP#3 surface soil COPC selection)),"Stockpile 3 (surface soil, 0-1ft bgs)",SR99/132-N13,,False,Barium,38,,detection_min_reported,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 4 (SP#3 surface soil COPC selection), PDF p.75. Frequency of detection 13/13 (100%). Max background concentration 120 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 4 (SP#3 surface soil COPC selection)),"Stockpile 3 (surface soil, 0-1ft bgs)",SR99/132-S31,,False,Barium,250,,MDC,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 4 (SP#3 surface soil COPC selection), PDF p.75. Frequency of detection 13/13 (100%). Max background concentration 120 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 4 (SP#3 surface soil COPC selection)),"Stockpile 3 (surface soil, 0-1ft bgs)",n/a,,False,Barium,250,,EPC,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 4 (SP#3 surface soil COPC selection), PDF p.75. Frequency of detection 13/13 (100%). Max background concentration 120 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 4 (SP#3 surface soil COPC selection)),"Stockpile 3 (surface soil, 0-1ft bgs)",SR99/132-N13,,False,Lead,1.2,,detection_min_reported,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 4 (SP#3 surface soil COPC selection), PDF p.75. Frequency of detection 13/13 (100%). Max background concentration 3.8 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 4 (SP#3 surface soil COPC selection)),"Stockpile 3 (surface soil, 0-1ft bgs)",SR99/132-S31,,False,Lead,12,,MDC,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 4 (SP#3 surface soil COPC selection), PDF p.75. Frequency of detection 13/13 (100%). Max background concentration 3.8 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 4 (SP#3 surface soil COPC selection)),"Stockpile 3 (surface soil, 0-1ft bgs)",n/a,,False,Lead,12,,EPC,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 4 (SP#3 surface soil COPC selection), PDF p.75. Frequency of detection 13/13 (100%). Max background concentration 3.8 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 5 (SP#1/2/3 combined construction-zone COPC selection)),Stockpiles 1-3 combined (0-20ft bgs),multiple,,False,Arsenic,0.4,,detection_min_reported,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 5 (SP#1/2/3 combined construction-zone COPC selection), PDF p.76. Frequency of detection 152/165 (92%). Max background concentration 4.1 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data). IMPORTANT: the '14' in this row is the SAMPLE DEPTH (ft bgs) at which the maximum was detected, NOT a concentration. The maximum arsenic concentration is 5.5 mg/kg. A prior extraction mis-transcribed the depth column value (14) as the concentration -- corrected here."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 5 (SP#1/2/3 combined construction-zone COPC selection)),Stockpiles 1-3 combined (0-20ft bgs),SR99/132-N08,14,False,Arsenic,5.5,,MDC,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 5 (SP#1/2/3 combined construction-zone COPC selection), PDF p.76. Frequency of detection 152/165 (92%). Max background concentration 4.1 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data). IMPORTANT: the '14' in this row is the SAMPLE DEPTH (ft bgs) at which the maximum was detected, NOT a concentration. The maximum arsenic concentration is 5.5 mg/kg. A prior extraction mis-transcribed the depth column value (14) as the concentration -- corrected here."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 5 (SP#1/2/3 combined construction-zone COPC selection)),Stockpiles 1-3 combined (0-20ft bgs),n/a,,False,Arsenic,5.5,,EPC,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 5 (SP#1/2/3 combined construction-zone COPC selection), PDF p.76. Frequency of detection 152/165 (92%). Max background concentration 4.1 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data). IMPORTANT: the '14' in this row is the SAMPLE DEPTH (ft bgs) at which the maximum was detected, NOT a concentration. The maximum arsenic concentration is 5.5 mg/kg. A prior extraction mis-transcribed the depth column value (14) as the concentration -- corrected here."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 5 (SP#1/2/3 combined construction-zone COPC selection)),Stockpiles 1-3 combined (0-20ft bgs),SR99/132-N12,,False,Barium,35,,detection_min_reported,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 5 (SP#1/2/3 combined construction-zone COPC selection), PDF p.76. Frequency of detection 165/165 (100%). Max background concentration 120 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 5 (SP#1/2/3 combined construction-zone COPC selection)),Stockpiles 1-3 combined (0-20ft bgs),SR99/132-N15,10,False,Barium,72000,,MDC,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 5 (SP#1/2/3 combined construction-zone COPC selection), PDF p.76. Frequency of detection 165/165 (100%). Max background concentration 120 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 5 (SP#1/2/3 combined construction-zone COPC selection)),Stockpiles 1-3 combined (0-20ft bgs),n/a,,False,Barium,72000,,EPC,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 5 (SP#1/2/3 combined construction-zone COPC selection), PDF p.76. Frequency of detection 165/165 (100%). Max background concentration 120 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 5 (SP#1/2/3 combined construction-zone COPC selection)),Stockpiles 1-3 combined (0-20ft bgs),SR99/132-N13,,False,Lead,1.2,,detection_min_reported,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 5 (SP#1/2/3 combined construction-zone COPC selection), PDF p.76. Frequency of detection 165/165 (100%). Max background concentration 3.8 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 5 (SP#1/2/3 combined construction-zone COPC selection)),Stockpiles 1-3 combined (0-20ft bgs),SR99/132-N14,10,False,Lead,1500,,MDC,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 5 (SP#1/2/3 combined construction-zone COPC selection), PDF p.76. Frequency of detection 165/165 (100%). Max background concentration 3.8 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
2006 Shaw site investigation (reproduced in HHRA UPDATE Table 5 (SP#1/2/3 combined construction-zone COPC selection)),Stockpiles 1-3 combined (0-20ft bgs),n/a,,False,Lead,1500,,EPC,"HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 5 (SP#1/2/3 combined construction-zone COPC selection), PDF p.76. Frequency of detection 165/165 (100%). Max background concentration 3.8 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
