investigation_event,location,sample_id,depth_ft,is_background,analyte,value_type,value_mgkg,range_low_mgkg,range_high_mgkg,n_samples,qualifier,source_section,source_page_printed,source_page_pdf,notes
2004 PSI,Stockpiles 2 and 3 (cadmium-correlated subset),,,False,barium,detection_range,,25800,196000,11,,2.2.3 Geocon 2012 SSI - Cadmium Borings (recalling 2004 PSI data),17,23,2004 PSI identified elevated cadmium (exceeding industrial CHHSL of 7.5 mg/kg) in 11 soil samples from Stockpiles 2/3; those same 11 samples had these corresponding elevated barium concentrations.
"2006 SI + 2012 SSI (cumulative, 348 samples)",Stockpiles (unspecified),,,False,barium,detection_range,,25000,130000,19,,2.2.3 Geocon 2012 SSI - Cadmium Borings,17,23,"Cumulative across the Shaw 2006 SI and Geocon 2012 SSI (348 total soil samples analyzed for cadmium): 19 samples had reported barium in this elevated range with cadmium non-detect (<1.0 mg/kg), supporting the conclusion that the 2004 PSI cadmium detections were an artifact of the 2004 lab / high-barium sample interference."
Pre-2012 (Geocon direct-push + hand-auger),Stockpile 3 (Kansas Ave off-ramp embankment),,,False,barium,detection_range,,34,1600,19,,1.5 Previous Removal Actions Taken,6,12,"8 direct-push borings + 11 hand-auger borings in the Stockpile 3 embankment area excavated for off-ramp shoulder widening (Sept 2012, ~2,800 cy). All values less than residential/industrial CHHSLs of 5,200/63,000 mg/kg; material was designated non-hazardous and disposed offsite."
2007 HHRA (based on 2006 SI data),Stockpile 2,,,False,arsenic,95_UCL,1.63,,,,,3.1.1 Current Offsite Resident and Trespasser,20,26,Drove the 2007 HHRA's Stockpile 2 cancer-risk estimate (1.45E-5). Excluded from the final Stockpile 2 risk total because it was statistically indistinguishable from the background arsenic UCL below.
2007 HHRA (based on 2006 SI data),Background,,,True,arsenic,95_UCL,1.15,,,,,3.1.1 Current Offsite Resident and Trespasser,20,26,"Background arsenic 95th UCL; associated cancer-risk estimate (1.15E-5) is very close to the Stockpile 2 arsenic estimate, which is why Shaw excluded arsenic from Stockpile 2's final risk total."
2007 HHRA (based on 2006 SI data),Stockpile 2,,,False,lead,95_UCL,30,,,,,3.1.1 Current Offsite Resident and Trespasser,20,26,Used in the LeadSpread model; all percentiles of adults/children projected <10 ug/dL blood lead.
2007 HHRA (based on 2006 SI data),Stockpile 3,,,False,lead,95_UCL,6.7,,,,,3.1.1 Current Offsite Resident and Trespasser,20,26,Used in the LeadSpread model; no unacceptable hazard indicated.
2006 SI / 2007 HHRA,"Stockpiles 1-3 combined (future construction soil zone, 0-20 ft)",,,False,lead,95_UCL,54,,,,,3.1.2 Future Construction Worker,21,27,Used in LeadSpread for the pica-child scenario; blood lead projected <10 ug/dL.
"2006 SI (max, 0-20 ft depth zone)",Stockpiles (unspecified),,,False,lead,MDC,1500,,,,,3.1.3 Future Offsite Resident,21,27,"Same 1,500 mg/kg max lead value as the 2006 SI Total Metals section (printed p.15) -- used here to compute a respirable-dust lead concentration of 0.15 ug/m3 in the LeadSpread model, well below the 1.5 ug/m3 default."
2012 SSI (Fenceline + Perimeter Borings),Stockpile 1,,,False,barium,MDC,240,,,,,3.2.1 Stockpile 1 Current Exposure Assessment,22,28,"Compared against the 2007 HHRA EPC below; same order of magnitude, no CHHSL/RSL exceedance -> 2007 HHRA findings held valid for Stockpile 1."
2006 SI (2007 HHRA EPC),Stockpile 1,,,False,barium,EPC,130,,,,,3.2.1 Stockpile 1 Current Exposure Assessment,22,28,2007 HHRA EPC for Stockpile 1 barium; numerically the same as the 2006 SI Total Metals MDC reported on printed p.14.
2012 SSI (Fenceline + Perimeter Borings),Stockpile 1,,,False,lead,MDC,17,,,,,3.2.1 Stockpile 1 Current Exposure Assessment,22,28,
2006 SI (2007 HHRA EPC),Stockpile 1,,,False,lead,EPC,12,,,,,3.2.1 Stockpile 1 Current Exposure Assessment,22,28,
2012 SSI (Fenceline + Perimeter Borings),Stockpile 1,,,False,strontium,MDC,61,,,,,3.2.1 Stockpile 1 Current Exposure Assessment,22,28,"Strontium was not a 2007 HHRA COPC for Stockpile 1 (only 2012 MDC reported, no EPC comparison)."
2012 SSI (Fenceline + Perimeter Borings),Stockpile 2,,,False,barium,MDC,4300,,,,,3.2.2 Stockpile 2 Current Exposure Assessment,22,28,
2006 SI (2007 HHRA EPC),Stockpile 2,,,False,barium,EPC,1100,,,,,3.2.2 Stockpile 2 Current Exposure Assessment,22,28,"2007 HHRA EPC for Stockpile 2 barium; Stockpile 2's 2007 HHRA COPCs used 95% UCLs (not MDCs) per Section 3.2, so this EPC differs from the raw 2006 SI MDC of 64,000 mg/kg reported on printed p.14 -- it is a separately-computed statistic, not transcribed here beyond what the FS report states."
2012 SSI (Fenceline + Perimeter Borings),Stockpile 2,,,False,strontium,MDC,110,,,,,3.2.2 Stockpile 2 Current Exposure Assessment,23,29,
2012 SSI (Fenceline + Perimeter Borings),Stockpile 3,,,False,barium,MDC,1600,,,,,3.2.3 Stockpile 3 Current Exposure Assessment,23,29,
2006 SI (2007 HHRA EPC),Stockpile 3,,,False,barium,EPC,250,,,,,3.2.3 Stockpile 3 Current Exposure Assessment,23,29,
2012 SSI (Fenceline + Perimeter Borings),Stockpile 3,,,False,lead,MDC,34,,,,,3.2.3 Stockpile 3 Current Exposure Assessment,23,29,"This is the 'lead fenceline/perimeter' figure discussed in Section 3.2.3; the true investigation event is the September 2012 SSI, not the surrounding section's 2006 SI framing."
2006 SI (2007 HHRA EPC),Stockpile 3,,,False,lead,EPC,12,,,,,3.2.3 Stockpile 3 Current Exposure Assessment,23,29,"2007 HHRA EPC for Stockpile 3 lead, based on 13 surface soil samples from the 2006 SI -- distinct from the Stockpile 1 EPC of 12 mg/kg above (same number, different stockpile/dataset)."
2012 SSI (Fenceline + Perimeter Borings),Stockpile 3,,,False,strontium,MDC,100,,,,,3.2.3 Stockpile 3 Current Exposure Assessment,23,29,'Detected in all but one of the 2012 surface soil samples.'
2012 SSI (Fenceline + Cadmium Borings),Stockpiles 1-3 combined,,,False,barium,MDC,130000,,,,,3.2.4 Stockpiles 1-3 Future Construction Worker/Offsite Resident,23,29,
2006 SI (2007 HHRA EPC),Stockpiles 1-3 combined,,,False,barium,EPC,72000,,,,,3.2.4 Stockpiles 1-3 Future Construction Worker/Offsite Resident,24,30,Based on 165 soil samples from the 2006 SI.
2012 SSI,Stockpiles 1-3 combined,,,False,barium,95_UCL,7556,,,,,3.2.4 Stockpiles 1-3 Future Construction Worker/Offsite Resident,24,30,"Calculated 95% UCL for the 2012 barium data; explicitly reported as 'significantly less than the MDC of 130,000 mg/kg and the EPC of 72,000 mg/kg.'"
2012 SSI,Stockpiles 1-3 combined,,,False,strontium,MDC,270,,,,,3.2.4 Stockpiles 1-3 Future Construction Worker/Offsite Resident,24,30,'Detected in all but one of the 2012 soil samples.'
