investigation_event,location,sample_id,depth_ft,is_background,analyte,value_mgkg,qualifier,value_type,notes
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB7-0.0,0.0,False,Arsenic,0.85,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB7-0.0,0.0,False,Barium,150,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB7-0.0,0.0,False,Lead,9.6,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB7-0.0,0.0,False,Strontium,27,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB7-2.0,2.0,False,Arsenic,0.38,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB7-2.0,2.0,False,Barium,79,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB7-2.0,2.0,False,Lead,1.9,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB7-2.0,2.0,False,Strontium,110,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB8-0.0,0.0,False,Arsenic,0.58,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB8-0.0,0.0,False,Barium,180,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB8-0.0,0.0,False,Lead,9.2,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB8-0.0,0.0,False,Strontium,27,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB8-4.0,4.0,False,Arsenic,0.31,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB8-4.0,4.0,False,Barium,120,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB8-4.0,4.0,False,Lead,1.5,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB8-4.0,4.0,False,Strontium,150,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB9-0.0,0.0,False,Arsenic,0.87,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB9-0.0,0.0,False,Barium,150,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB9-0.0,0.0,False,Lead,16,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB9-0.0,0.0,False,Strontium,31,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB9-4.0,4.0,False,Arsenic,0.34,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB9-4.0,4.0,False,Barium,92,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB9-4.0,4.0,False,Lead,1.6,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB9-4.0,4.0,False,Strontium,190,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB10-0.0,0.0,False,Arsenic,1.1,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB10-0.0,0.0,False,Barium,1500,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB10-0.0,0.0,False,Lead,44,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB10-0.0,0.0,False,Strontium,44,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB10-4.0,4.0,False,Arsenic,0.77,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB10-4.0,4.0,False,Barium,680,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB10-4.0,4.0,False,Lead,20,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB10-4.0,4.0,False,Strontium,57,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB11-0.0,0.0,False,Arsenic,0.92,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB11-0.0,0.0,False,Barium,4300,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB11-0.0,0.0,False,Lead,35,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB11-0.0,0.0,False,Strontium,110,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB11-4.0,4.0,False,Arsenic,0.38,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB11-4.0,4.0,False,Barium,590,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB11-4.0,4.0,False,Lead,5.9,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB11-4.0,4.0,False,Strontium,38,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB12-0.0,0.0,False,Arsenic,0.59,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB12-0.0,0.0,False,Barium,1500,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB12-0.0,0.0,False,Lead,14,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB12-0.0,0.0,False,Strontium,25,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB12-4.0,4.0,False,Arsenic,0.25,ND,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB12-4.0,4.0,False,Barium,140,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB12-4.0,4.0,False,Lead,1.9,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB12-4.0,4.0,False,Strontium,15,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB13-0.0,0.0,False,Arsenic,0.80,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB13-0.0,0.0,False,Barium,1900,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB13-0.0,0.0,False,Lead,10,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB13-0.0,0.0,False,Strontium,37,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB13-4.0,4.0,False,Arsenic,0.34,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB13-4.0,4.0,False,Barium,560,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB13-4.0,4.0,False,Lead,3.6,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB13-4.0,4.0,False,Strontium,24,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB14-0.0,0.0,False,Arsenic,0.66,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB14-0.0,0.0,False,Barium,540,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB14-0.0,0.0,False,Lead,10,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB14-0.0,0.0,False,Strontium,48,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB14-3.0,3.0,False,Arsenic,0.45,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB14-3.0,3.0,False,Barium,94,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB14-3.0,3.0,False,Lead,1.2,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB14-3.0,3.0,False,Strontium,190,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB15-0.0,0.0,False,Arsenic,0.67,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB15-0.0,0.0,False,Barium,1000,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB15-0.0,0.0,False,Lead,11,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB15-0.0,0.0,False,Strontium,44,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB15-4.0,4.0,False,Arsenic,0.25,ND,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB15-4.0,4.0,False,Barium,140,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB15-4.0,4.0,False,Lead,2.2,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB15-4.0,4.0,False,Strontium,22,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB16-0.0,0.0,False,Arsenic,0.79,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB16-0.0,0.0,False,Barium,1200,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB16-0.0,0.0,False,Lead,10,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB16-0.0,0.0,False,Strontium,35,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB16-4.0,4.0,False,Arsenic,0.51,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB16-4.0,4.0,False,Barium,470,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB16-4.0,4.0,False,Lead,5.2,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 2 - NORTH SIDE,FB16-4.0,4.0,False,Strontium,27,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
